Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",-10.000000,23.840000,-90.000000,top
"A2","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",27.800000,23.840000,-90.000000,top
"A3","Pololu_Breakout_A4988","Pololu_Breakout-16_15.2x20.3mm",10.110000,-25.840000,90.000000,top
"C1","100u","CP_Elec_8x10",-11.000000,31.500000,90.000000,top
"C2","680u","CP_Elec_10x10",4.000000,2.575000,0.000000,top
"C3","1u","C_1206_3216Metric",1.000000,10.000000,180.000000,top
"C4","220u","CP_Elec_10x10",-23.225000,-11.425000,180.000000,top
"C5","100u","CP_Elec_8x10",11.000000,31.500000,90.000000,top
"C6","10u","CP_Elec_5x5.4",-26.000000,-24.000000,-90.000000,top
"C7","0.1u","C_0805_2012Metric",-24.500000,-18.500000,0.000000,top
"C8","10u","CP_Elec_5x5.4",-11.000000,-21.000000,90.000000,top
"C9","100u","CP_Elec_8x10",2.500000,-8.000000,180.000000,top
"C10","0.1u","C_0603_1608Metric",-20.000000,-47.000000,-90.000000,top
"C11","0.1u","C_0603_1608Metric",20.000000,-47.000000,-90.000000,top
"C12","0.1u","C_0805_2012Metric",-11.950000,-26.500000,180.000000,top
"C13","0.1u","C_0603_1608Metric",9.000000,-46.500000,180.000000,top
"C14","10u","C_0603_1608Metric",9.000000,-48.500000,180.000000,top
"D1","SS34","D_SMA",-11.000000,6.500000,180.000000,top
"D2","LED (GRE)","D_0805_2012Metric",0.000000,15.000000,0.000000,top
"D3","LED (GRE)","D_0805_2012Metric",0.000000,20.500000,0.000000,top
"D4","LED (GRE)","D_0805_2012Metric",-0.062500,26.000000,0.000000,top
"D5","LED (RED)","D_0805_2012Metric",25.062500,-6.500000,180.000000,top
"D6","LED (BLU)","D_0805_2012Metric",-12.500000,-35.000000,180.000000,top
"D7","LED (YEL)","D_0805_2012Metric",-12.500000,-39.000000,180.000000,top
"D8","LED (RED)","D_0805_2012Metric",25.125000,-0.500000,180.000000,top
"D9","LED (RED)","D_0805_2012Metric",25.000000,5.500000,180.000000,top
"J1","Barrel_Jack_Switch","BarrelJack_Horizontal",0.000000,36.000000,-90.000000,top
"J2","Conn_01x04","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal",-20.050000,37.500000,-90.000000,top
"J3","Conn_01x04","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal",20.000000,30.000000,90.000000,top
"J4","Conn_01x04","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal",20.000000,-39.000000,90.000000,top
"J5","Conn_01x03","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-2.500000,-33.000000,0.000000,top
"J6","Conn_01x03","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-2.500000,-25.525000,0.000000,top
"J7","Conn_01x03","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",-2.500000,-18.000000,0.000000,top
"J8","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",-27.000000,-33.380000,0.000000,top
"L1","33u","SMDRI127",-22.225000,1.575000,-90.000000,top
"Q1","BC817","SOT-23",20.500000,-6.450000,0.000000,top
"Q2","BC817","SOT-23",-16.500000,-34.000000,0.000000,top
"Q3","BC817","SOT-23",-16.437500,-37.950000,0.000000,top
"Q4","BC817","SOT-23",20.625000,-0.500000,0.000000,top
"Q5","BC817","SOT-23",20.375000,5.550000,0.000000,top
"R1","0R","R_0603_1608Metric",8.400000,42.500000,0.000000,top
"R2","0R","R_0603_1608Metric",8.400000,45.000000,0.000000,top
"R3","0R","R_0603_1608Metric",8.400000,47.500000,0.000000,top
"R4","470","R_0603_1608Metric",5.000000,15.500000,90.000000,top
"R5","1k","R_0603_1608Metric",5.000000,21.000000,90.000000,top
"R6","2k7","R_0603_1608Metric",5.000000,26.500000,90.000000,top
"R7","1k","R_0603_1608Metric",25.125000,-3.750000,0.000000,top
"R8","1k","R_0603_1608Metric",-12.500000,-33.000000,0.000000,top
"R9","1k","R_0603_1608Metric",-12.500000,-37.000000,0.000000,top
"R10","1k","R_0603_1608Metric",17.562500,-5.500000,90.000000,top
"R11","10k","R_0603_1608Metric",-19.500000,-32.950000,90.000000,top
"R12","10k","R_0603_1608Metric",-19.500000,-36.950000,90.000000,top
"R13","10k","R_0603_1608Metric",-22.000000,-47.000000,-90.000000,top
"R14","10k","R_0603_1608Metric",22.000000,-47.000000,-90.000000,top
"R15","1k","R_0603_1608Metric",25.125000,2.250000,0.000000,top
"R16","1k","R_0603_1608Metric",17.562500,0.500000,90.000000,top
"R17","1k","R_0603_1608Metric",25.000000,8.250000,0.000000,top
"R18","1k","R_0603_1608Metric",17.437500,6.500000,90.000000,top
"R19","0R","R_0603_1608Metric",15.700000,42.500000,0.000000,top
"R20","0R","R_0603_1608Metric",15.700000,45.000000,0.000000,top
"R21","0R","R_0603_1608Metric",15.700000,47.500000,0.000000,top
"SW1","SW_Push","SW_PUSH_4.5mm",-15.000000,-47.000000,0.000000,top
"SW2","SW_Push","SW_PUSH_4.5mm",15.000000,-47.000000,0.000000,top
"U1","LM2596S-5","VREG_LM2596SX-5.0_NOPB",-9.200000,-4.045000,-90.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",-18.500000,-22.000000,-90.000000,top
"U4","ESP32-C3-MINI-1-N4","XCVR_ESP32-C3-MINI-1-N4",0.000000,-47.000000,180.000000,top
